iter	Passed	Remaining
0	67	134380
1	75	74962
2	80	53382
3	84	42273
4	90	36240
5	95	31794
6	101	28826
7	106	26447
8	111	24586
9	115	23001
10	120	21847
11	127	21068
12	134	20605
13	140	19880
14	145	19238
15	150	18603
16	155	18158
17	160	17630
18	165	17220
19	170	16911
20	177	16746
21	185	16645
22	190	16367
23	196	16160
24	203	16108
25	209	15910
26	215	15730
27	220	15558
28	225	15330
29	229	15079
30	234	14898
31	239	14709
32	243	14531
33	249	14398
34	253	14250
35	258	14088
36	262	13932
37	266	13776
38	272	13682
39	277	13594
40	282	13474
41	287	13384
42	291	13275
43	295	13145
44	301	13080
45	305	12965
46	309	12842
47	312	12723
48	317	12623
49	321	12531
50	325	12440
51	331	12407
52	336	12371
53	342	12332
54	347	12281
55	351	12214
56	356	12155
57	362	12125
58	369	12165
59	375	12155
60	383	12177
61	388	12142
62	393	12102
63	398	12067
64	403	12020
65	409	11995
66	414	11957
67	418	11901
68	423	11846
69	427	11784
70	432	11741
71	436	11700
72	442	11673
73	447	11639
74	452	11602
75	456	11546
76	460	11504
77	465	11474
78	470	11436
79	474	11388
80	478	11342
81	483	11299
82	486	11242
83	492	11238
84	497	11208
85	501	11159
86	505	11117
87	509	11077
88	514	11056
89	519	11024
90	524	11003
91	528	10965
92	533	10932
93	536	10881
94	541	10852
95	545	10814
96	548	10767
97	552	10728
98	556	10681
99	560	10654
100	564	10619
101	568	10585
102	573	10567
103	578	10547
104	582	10514
105	586	10480
106	590	10446
107	594	10409
108	598	10374
109	601	10334
110	606	10324
111	612	10317
112	616	10301
113	622	10296
114	630	10336
115	637	10349
116	642	10339
117	647	10333
118	655	10368
119	661	10361
120	669	10396
121	675	10392
122	680	10391
123	685	10376
124	692	10380
125	697	10367
126	702	10353
127	706	10337
128	711	10324
129	715	10297
130	720	10281
131	724	10252
132	728	10232
133	733	10214
134	738	10198
135	742	10179
136	747	10162
137	752	10146
138	756	10133
139	761	10119
140	766	10107
141	771	10095
142	775	10071
143	779	10048
144	783	10024
