feature,gain
logins_last_7_days,90452.1015625
monthly_os_changes,8923.309936523438
monthly_phone_model_changes,246.25799560546875
log_day_of_month,0.0
log_logins_7d_over_30d_ratio,0.0
log_monthly_phone_model_changes,0.0
log_last_phone_model_categorical,0.0
log_last_os_categorical,0.0
log_logins_last_7_days,0.0
log_logins_last_30_days,0.0
log_login_frequency_7d,0.0
log_login_frequency_30d,0.0
log_freq_change_7d_vs_mean,0.0
log_avg_login_interval_30d,0.0
log_month,0.0
log_monthly_os_changes,0.0
log_var_login_interval_30d,0.0
log_ewm_login_interval_7d,0.0
log_burstiness_login_interval,0.0
log_fano_factor_login_interval,0.0
log_zscore_avg_login_interval_7d,0.0
log_dow,0.0
log_is_weekend,0.0
log_std_login_interval_30d,0.0
is_business_hours,0.0
is_night,0.0
std_login_interval_30d,0.0
last_phone_model_categorical,0.0
last_os_categorical,0.0
logins_last_30_days,0.0
login_frequency_7d,0.0
login_frequency_30d,0.0
freq_change_7d_vs_mean,0.0
logins_7d_over_30d_ratio,0.0
avg_login_interval_30d,0.0
var_login_interval_30d,0.0
month,0.0
ewm_login_interval_7d,0.0
burstiness_login_interval,0.0
fano_factor_login_interval,0.0
zscore_avg_login_interval_7d,0.0
hour,0.0
dow,0.0
is_weekend,0.0
day_of_month,0.0
log_is_night,0.0
