feature,gain
beneficiary_tx_count,180171.08265886924
amount,22776.08631904356
amount_per_user_std,8760.313051108264
month,7060.438611050581
amount_min,6698.660631384498
amount_count,6087.426168723426
day_of_month,4662.597326227204
hour,3971.791745309392
amount_per_user_mean,2371.954624369105
transdate_day,2078.044023480954
hour_mean,1713.7929262984826
hour_std,1058.1018252052868
beneficiary_amount_count,313.97305265637766
beneficiary_amount_mean,163.41146213202592
amount_max,161.19224393650288
hour_diff_from_mean,132.81848644762974
amount_std,69.67488851912817
amount_rolling_mean,68.30541207621047
amount_rolling_std,66.00900346612978
log_amount,41.041008839492065
amount_sum,35.25692452663058
beneficiary_id_nunique,16.18963376104578
beneficiary_amount_std,4.5748553187667325
amount_squared,1.5201254515942872
amount_sqrt,0.8409001535461708
dow,0.7332184316364545
amount_mean,0.6016632782611037
is_new_beneficiary,0.579381852303745
amount_rolling_count,0.1836351011953147
beneficiary_unique_users,0.05586474781756326
is_business_hours,0.048342259167593576
beneficiary_src_account_id_nunique,0.007328065962051856
is_night,0.0
is_weekend,0.0
