feature,gain
beneficiary_tx_count,472210.3220214844
amount,91654.7446231842
transdate_day,25780.787683941424
hour_diff_from_mean,21453.3203125
amount_count,15185.547375608236
amount_rolling_mean,11305.507763639092
hour,11124.172694206238
dow,9424.400390625
amount_min,8482.0
amount_per_user_mean,8365.51953125
beneficiary_amount_mean,6702.741114020348
amount_per_user_std,3890.2918701171875
amount_sum,835.7402398213744
hour_mean,409.5868034362793
beneficiary_id_nunique,284.64210510253906
month,272.7309875488281
amount_max,257.0723989829421
amount_rolling_std,123.2193618118763
amount_std,120.48099899291992
beneficiary_amount_std,0.8130429983139038
hour_std,0.388139009475708
amount_mean,0.07524940371513367
beneficiary_amount_count,0.0
amount_rolling_count,0.0
is_new_beneficiary,0.0
beneficiary_unique_users,0.0
amount_sqrt,0.0
amount_squared,0.0
log_amount,0.0
is_business_hours,0.0
is_night,0.0
day_of_month,0.0
is_weekend,0.0
beneficiary_src_account_id_nunique,0.0
